,Date,Contributor,Zip,Amount,Recipient,Record Type Description,Source Description
174,5/9/2007,Greater Boston Real Estate Board PAC,2108,$125.00 ,"Knapik, Michael R.",Committee,2007 Year-end Report (ND)
175,5/11/2007,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$200.00 ,"Murray, Therese",Committee,2007 Year-end Report (ND)
176,5/22/2007,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$200.00 ,"Donato, Paul J.",Individual,2007 Year-end Report (ND)
177,5/24/2007,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Hart Jr., John A.",Committee,2007 Year-end Report (ND)
178,5/30/2007,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$250.00 ,"Flaherty Jr., Michael F.",Committee,5/30/07 Deposit Report
179,6/11/2007,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Honan, Kevin G.",Committee,2007 Year-end Report (ND)
180,6/11/2007,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Stanley, Thomas M.",Committee,2007 Year-end Report (ND)
181,6/13/2007,Greater Boston Real Estate Board PAC,2108,$125.00 ,"Timilty, Walter F.",Committee,2007 Year-end Report (ND)
182,6/20/2007,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Rogers, John H.",Committee,2007 Year-end Report (ND)
183,6/26/2007,GREATER BOSTON REAL ESTATE BOARD,2108,$300.00 ,"Costello, Michael A.",Union/Association,2007 Year-end Report (ND)
184,6/30/2007,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Murphy, Stephen",Committee,6/30/07 Deposit Report
185,6/30/2007,GREATER BOSTON REAL ESTATE BOARD PAC,2124,$300.00 ,"McGee, Thomas M.",Committee,2007 Year-end Report (ND)
186,7/3/2007,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$500.00 ,Speaker DiMasi's Committee for a Democratic House,Committee,2007 Year-end Report (PAC)
187,7/11/2007,Greater Boston Real Estate Board PAC,2108,$200.00 ,"O'Flaherty, Eugene L.",Committee,2007 Year-end Report (ND)
188,7/13/2007,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Loscocco, Paul J.P.",Committee,2007 Year-end Report (ND)
189,8/29/2007,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Pedone, Vincent A.",Committee,2007 Year-end Report (ND)
190,9/4/2007,Greater Boston Real Estate Board,2108,$200.00 ,"Reinstein, Kathi-Anne",Committee,2007 Year-end Report (ND)
191,9/7/2007,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Brown, Scott P.",Committee,2007 Year-end Report (ND)
192,9/17/2007,GREATER BOSTON REAL ESTATE BOARD,2108,$200.00 ,"Murphy, Charles A.",Committee,2007 Pre-primary Report (Special) (ND)
193,9/28/2007,Greater Boston Real Estate Board PAC,2106,$200.00 ,"Natale, Patrick M.",Union/Association,2007 Pre-primary Report (Special) (ND)
194,9/30/2007,Greater Boston Real Estate Bd.,2108,$200.00 ,"Smizik, Frank I.",Committee,2007 Year-end Report (ND)
195,11/5/2007,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Forry, Linda Dorcena",Committee,2007 Year-end Report (ND)
196,11/20/2007,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Peterson Jr., George N.",Committee,2007 Year-end Report (ND)
197,11/20/2007,Greater Boston Real Estate PAC,2108,$200.00 ,"Fennell, Robert F.",Committee,2007 Year-end Report (ND)
198,11/27/2007,Greater Boston Real Estate Board Political Action Committee,2108,$500.00 ,"Menino, Thomas M.",Individual,11/27/07 Deposit Report
199,11/28/2007,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Scaccia, Angelo M.",Committee,2007 Year-end Report (ND)
200,12/3/2007,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Curran, Sean",Committee,2007 Year-end Report (ND)
